Id,SalePrice
1461,117021.75444037677
1462,179902.33242580516
1463,184159.2595742402
1464,195195.64168793964
1465,208908.6646834684
1466,167863.7668390805
1467,172724.74838039023
1468,153375.3730749674
1469,209337.90792752162
1470,115296.4406374424
1471,174788.60926065547
1472,93373.98151066201
1473,90413.78785818082
1474,151810.8538741112
1475,103474.39992177114
1476,360036.9570364426
1477,267664.61035463156
1478,311461.7009864104
1479,309304.7041119513
1480,474091.4351056928
1481,316542.81325765955
1482,208363.31639317237
1483,179754.52975329442
1484,160860.47536181693
1485,182017.68716080394
1486,193264.933770307
1487,351130.32609461946
1488,226807.24364502123
1489,204872.24797936121
1490,268479.5459702227
1491,198446.81330349355
1492,108599.07045508514
1493,196833.36626464594
1494,317242.9944440768
1495,289348.8403271093
1496,258493.7625471023
1497,175227.65288571664
1498,171473.91945726238
1499,163207.40554255003
1500,143437.23980271968
1501,196883.98947494244
1502,129064.89717313647
1503,403193.7552289148
1504,233197.08135563752
1505,223228.52819661458
1506,190276.2287956205
1507,259845.51402289385
1508,193243.54239630676
1509,155629.84783898934
1510,140931.35250363906
1511,155368.8693562114
1512,186170.11039749184
1513,152393.22058004665
1514,167288.07013177813
1515,212999.77425082074
1516,152324.19171749905
1517,182364.48387270258
1518,121276.33406102296
1519,220237.3080571572
1520,125744.64634580002
1521,130710.42414881813
1522,187889.77214752964
1523,113543.13113444741
1524,116156.04864235653
1525,118021.05882722477
1526,110878.78087799577
1527,107987.02694017673
1528,126999.16875147342
1529,156576.524156995
1530,210131.23887011642
1531,125329.18697254313
1532,92383.0019174685
1533,166807.68956552993
1534,124270.92987757258
1535,150097.60886644712
1536,90680.05420142459
1537,53745.16072143358
1538,164885.91523635865
1539,211320.60030752362
1540,129667.13035997271
1541,143664.89006536757
1542,159002.7504665252
1543,190920.02865323378
1544,86582.00557754433
1545,123158.19622724142
1546,136987.85131297528
1547,151621.05790624558
1548,152382.51088331908
1549,126882.53977415804
1550,143069.798594138
1551,111749.55513147172
1552,164166.9042255819
1553,164460.9334158185
1554,119670.96506021975
1555,155602.3816755251
1556,58292.90692048881
1557,125599.75662226952
1558,100427.39075788797
1559,68235.02916856098
1560,120292.90473119181
1561,137508.18159020226
1562,126681.13608520769
1563,129631.62932621757
1564,165294.6050310752
1565,157523.67275800428
1566,229422.40653453744
1567,76989.374704708
1568,220363.61167593068
1569,116545.07722362166
1570,131772.38542174024
1571,93260.23595842929
1572,147868.75370027416
1573,278097.4441203439
1574,135282.89482026093
1575,241150.58818486193
1576,225545.65787762986
1577,180532.61935761187
1578,152966.04817601957
1579,143902.80291205982
1580,182285.81818888767
1581,151563.37199818064
1582,132619.59070038435
1583,292445.02155598986
1584,226724.9288286796
1585,135173.8822981211
1586,68199.49970161484
1587,110217.32828146953
1588,152969.48137775715
1589,97306.47200184304
1590,133346.45298686507
1591,95421.03936397599
1592,110657.81700317841
1593,128582.61838651716
1594,152908.7370665887
1595,117443.42877806467
1596,224885.03293813753
1597,202687.01974294102
1598,204205.4370953152
1599,198656.1333529948
1600,177980.9067351598
1601,56272.336674554506
1602,118164.28029471147
1603,55180.51465936715
1604,291159.64928937226
1605,228273.67646699364
1606,168474.2882609435
1607,163396.602151289
1608,195078.32924350293
1609,188924.96687185916
1610,143869.4028539908
1611,126400.70882876602
1612,193200.7311173085
1613,155361.6838561406
1614,125020.36632057535
1615,92721.87303786725
1616,71978.34848151042
1617,81962.7854715325
1618,128079.06252468377
1619,141209.86302609043
1620,179340.252961008
1621,127850.89737989276
1622,145273.1308468572
1623,265735.3103208144
1624,208214.26563867158
1625,118626.69145333697
1626,164226.57064470928
1627,185261.335632756
1628,279320.93022469943
1629,174206.79221002804
1630,389315.236147361
1631,245982.43869706464
1632,256374.49217887397
1633,174745.10987755272
1634,181752.6498178942
1635,172050.25053046574
1636,142773.93147075677
1637,188999.18947432016
1638,182624.87908493157
1639,175502.1149939032
1640,242060.2515401669
1641,181895.60059910815
1642,237697.53059669118
1643,223389.9316286893
1644,238636.57060872926
1645,219116.2968390173
1646,152278.79704833776
1647,151059.86421437399
1648,124381.9961103861
1649,120301.65825691435
1650,114793.49760918925
1651,110766.85230096872
1652,92601.30589894508
1653,91280.6122232494
1654,143295.758365451
1655,126814.26759933599
1656,139187.11390846712
1657,155217.0336928619
1658,150139.2428155617
1659,128556.65926145611
1660,143484.98001514922
1661,426113.02137577964
1662,388630.23242904
